Rang;Fläche in km²;Gemeinde;Status/Kreiszugehörigkeit;Land
85;211,55;Märkische Heide;Gemeinde im Landkreis Dahme-Spreewald;Brandenburg
86;210,34;Essen;Kreisfreie Stadt;Nordrhein-Westfalen
87;210,16;Wittmund;Kreisstadt des Landkreises Wittmund;Niedersachsen
88;209,55;Kremmen;Stadt im Landkreis Oberhavel;Brandenburg
89;208,79;Haren (Ems);Stadt im Landkreis Emsland;Niedersachsen
90;207,66;Sangerhausen;Kreisstadt des Landkreises Mansfeld-Südharz;Sachsen-Anhalt
91;207,64;Heiligengrabe;Gemeinde im Landkreis Ostprignitz-Ruppin;Brandenburg
92;207,44;Luckau;Stadt im Landkreis Dahme-Spreewald;Brandenburg
93;207,33;Stuttgart;Stadtkreis;Baden-Württemberg
94;205,77;Niedergörsdorf;Gemeinde im Landkreis Teltow-Fläming;Brandenburg
95;205,66;Garmisch-Partenkirchen;Markt, Kreishauptort des gleichnamigen Landkreises;Bayern
96;204,61;Wolfsburg;Kreisfreie Stadt;Niedersachsen
97;204,30;Hannover;Stadt der Region Hannover;Niedersachsen
98;203,87;Wiesbaden;Kreisfreie Stadt;Hessen
99;203,77;Soltau;Stadt im Landkreis Heidekreis;Niedersachsen
100;202,32;Spremberg;Stadt im Landkreis Spree-Neiße;Brandenburg
